,<PER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
98,0,0.12529572555455695,5.837890532535499e-05,-0.00027729980029546857,-7.297363165671318e-05,0.8902783062117616
99,0,0.262100820403287,0.0004782861686190984,-0.001594287228730479,-0.001594287228730479,0.1275429782984365
100,0,0.21924264100104793,0.0006690434845461104,-0.000756310026008651,-0.0006981323317002992,0.43633270731268664
101,0,0.0010028882559559166,1.379678437137654e-07,-6.07058512340911e-06,-2.6213890305630133e-06,0.9999909312379259
102,1,0.9999991184630396,0.0,-8.76961429854459e-05,-8.76961429854459e-05,0.00013154421447816885
103,0,0.018329036529968354,6.379755144436594e-06,-8.931657202212365e-05,-7.655706173324763e-05,0.9952418025322183
104,0,0.0005546937333820973,7.665750875927788e-07,-5.825970665704697e-06,-2.6063552978152574e-06,0.9999972017647125
105,1,0.9999631313778597,0.003043430079300344,0.0,0.0019144156950437648,0.007657662780175059
106,0,0.2742119483900662,0.0,0.0,0.0,0.0320378488596876
107,1,0.9984942515456314,0.0013103599101648706,-0.018803664710865895,-0.005634547613708944,0.0511695544919382
108,1,0.996216884221858,0.0008274717519493332,-0.08593885195245217,-0.006560668890455428,0.010934448150759045
109,0,0.07718703299277821,0.00046853639631406325,0.0,0.0003297107974061887,0.8503067933107311
110,0,0.049008982829862276,0.00026857180419695984,-0.00019337169902182254,0.0,0.9453727507733187
111,0,0.005860038349019192,6.664183111090834e-05,-2.0436828207344897e-05,3.998509866654484e-05,0.9996274666636227
112,0,0.12699140826257385,0.0011514764997901821,0.0,0.0011514764997901821,0.09869798569630092
113,1,0.9998219743093171,0.012666522761711636,-0.005666602288134153,0.012666522761711636,0.0004999943195412487
114,1,0.9999861518330384,0.0006964661873750094,-0.0018108120871750243,0.0,0.00468953899499173
115,0,0.008759670591682646,3.8789196390104744e-05,-5.8852573833263186e-05,-3.745163789389497e-05,0.9991561966692527
116,0,0.2366993447674104,0.0009461666013354258,-0.00015769443355589962,0.0009461666013354258,0.2207722069782642
117,0,0.001280734546260865,1.974072772109451e-06,-5.702876897205578e-06,-4.386828382465815e-06,0.9999775297830593
118,1,0.9999982738238011,0.0,-0.0008403346838855471,-0.0008403346838855471,0.0002801115612951824
119,0,0.21850574106783166,0.0,0.0,0.0,0.09709927761864835
120,0,0.24847890354783853,0.0,0.0,0.0,0.03226998747374526
121,1,0.9999991333883227,0.0,0.0,0.0,4.3859611113522926e-05
122,0,0.009167474939195123,7.493848724137754e-05,-1.05176824198424e-05,4.8644281191770955e-05,0.9991798298850271
123,0,0.06782707061353137,0.0,-0.00043164220130896563,-0.00043164220130896563,0.9648472735141723
